date,value
2025-01-01,100.0000
2025-01-02,100.1234
2025-01-03,100.2468
2025-01-04,100.3702
2025-01-05,100.4936
2025-01-06,100.6170
2025-01-07,100.7404
2025-01-08,100.8638
2025-01-09,100.9872
2025-01-10,101.1106
2025-01-11,101.2340
2025-01-12,101.3574
2025-01-13,101.4808
2025-01-14,101.6042
2025-01-15,101.7276
2025-01-16,101.8510
2025-01-17,101.9744
2025-01-18,102.0978
2025-01-19,102.2212
2025-01-20,102.3446
2025-01-21,102.4680
2025-01-22,102.5914
2025-01-23,102.7148
2025-01-24,102.8382
2025-01-25,102.9616
2025-01-26,103.0850
2025-01-27,103.2084
2025-01-28,103.3318
2025-01-29,103.4552
2025-01-30,103.5786
2025-01-31,103.7020
2025-02-01,103.8254
2025-02-02,103.9488
2025-02-03,104.0722
2025-02-04,104.1956
2025-02-05,104.3190
2025-02-06,104.4424
2025-02-07,104.5658
2025-02-08,104.6892
2025-02-09,104.8126
2025-02-10,104.9360
2025-02-11,105.0594
2025-02-12,105.1828
2025-02-13,105.3062
2025-02-14,105.4296
2025-02-15,105.5530
2025-02-16,105.6764
2025-02-17,105.7998
2025-02-18,105.9232
2025-02-19,106.0466
2025-02-20,106.1700
2025-02-21,106.2934
2025-02-22,106.4168
2025-02-23,106.5402
2025-02-24,106.6636
2025-02-25,106.7870
2025-02-26,106.9104
2025-02-27,107.0338
2025-02-28,107.1572
2025-03-01,107.2806
2025-03-02,107.4040
2025-03-03,107.5274
2025-03-04,107.6508
2025-03-05,107.7742
2025-03-06,107.8976
2025-03-07,108.0210
2025-03-08,108.1444
2025-03-09,108.2678
2025-03-10,108.3912
2025-03-11,108.5146
2025-03-12,108.6380
2025-03-13,108.7614
2025-03-14,108.8848
2025-03-15,109.0082
2025-03-16,109.1316
2025-03-17,109.2550
2025-03-18,109.3784
2025-03-19,109.5018
2025-03-20,109.6252
2025-03-21,109.7486
2025-03-22,109.8720
2025-03-23,109.9954
2025-03-24,110.1188
2025-03-25,110.2422
2025-03-26,110.3656
2025-03-27,110.4890
2025-03-28,110.6124
2025-03-29,110.7358
2025-03-30,110.8592
2025-03-31,110.9826
2025-04-01,111.1060
2025-04-02,111.2294
2025-04-03,111.3528
2025-04-04,111.4762
2025-04-05,111.5996
2025-04-06,111.7230
2025-04-07,111.8464
2025-04-08,111.9698
2025-04-09,112.0932
2025-04-10,112.2166
2025-04-11,112.3400
2025-04-12,112.4634
2025-04-13,112.5868
2025-04-14,112.7102
2025-04-15,112.8336
2025-04-16,112.9570
2025-04-17,113.0804
2025-04-18,113.2038
2025-04-19,113.3272
2025-04-20,113.4506
2025-04-21,113.5740
2025-04-22,113.6974
2025-04-23,113.8208
2025-04-24,113.9442
2025-04-25,114.0676
2025-04-26,114.1910
2025-04-27,114.3144
2025-04-28,114.4378
2025-04-29,114.5612
2025-04-30,114.6846
2025-05-01,114.8080
2025-05-02,114.9314
2025-05-03,115.0548
2025-05-04,115.1782
2025-05-05,115.3016
2025-05-06,115.4250
2025-05-07,115.5484
2025-05-08,115.6718
2025-05-09,115.7952
2025-05-10,115.9186
2025-05-11,116.0420
2025-05-12,116.1654
2025-05-13,116.2888
2025-05-14,116.4122
2025-05-15,116.5356
2025-05-16,116.6590
2025-05-17,116.7824
2025-05-18,116.9058
2025-05-19,117.0292
2025-05-20,117.1526
2025-05-21,117.2760
2025-05-22,117.3994
2025-05-23,117.5228
2025-05-24,117.6462
2025-05-25,117.7696
2025-05-26,117.8930
2025-05-27,118.0164
2025-05-28,118.1398
2025-05-29,118.2632
2025-05-30,118.3866
2025-05-31,118.5100
2025-06-01,118.6334
2025-06-02,118.7568
2025-06-03,118.8802
2025-06-04,119.0036
2025-06-05,119.1270
2025-06-06,119.2504
2025-06-07,119.3738
2025-06-08,119.4972
2025-06-09,119.6206
2025-06-10,119.7440
2025-06-11,119.8674
2025-06-12,119.9908
2025-06-13,120.1142
2025-06-14,120.2376
2025-06-15,120.3610
2025-06-16,120.4844
2025-06-17,120.6078
2025-06-18,120.7312
2025-06-19,120.8546
2025-06-20,120.9780
2025-06-21,121.1014
2025-06-22,121.2248
2025-06-23,121.3482
2025-06-24,121.4716
2025-06-25,121.5950
2025-06-26,121.7184
2025-06-27,121.8418
2025-06-28,121.9652
2025-06-29,122.0886
2025-06-30,122.2120
2025-07-01,122.3354
2025-07-02,122.4588
2025-07-03,122.5822
2025-07-04,122.7056
2025-07-05,122.8290
2025-07-06,122.9524
2025-07-07,123.0758
2025-07-08,123.1992
2025-07-09,123.3226
2025-07-10,123.4460
2025-07-11,123.5694
2025-07-12,123.6928
2025-07-13,123.8162
2025-07-14,123.9396
2025-07-15,124.0630
2025-07-16,124.1864
2025-07-17,124.3098
2025-07-18,124.4332
2025-07-19,124.5566
2025-07-20,124.6800
2025-07-21,124.8034
2025-07-22,124.9268
2025-07-23,125.0502
2025-07-24,125.1736
2025-07-25,125.2970
2025-07-26,125.4204
2025-07-27,125.5438
2025-07-28,125.6672
2025-07-29,125.7906
2025-07-30,125.9140
2025-07-31,126.0374
2025-08-01,126.1608
2025-08-02,126.2842
2025-08-03,126.4076
2025-08-04,126.5310
2025-08-05,126.6544
2025-08-06,126.7778
2025-08-07,126.9012
2025-08-08,127.0246
2025-08-09,127.1480
2025-08-10,127.2714
2025-08-11,127.3948
2025-08-12,127.5182
